filename, Acne, Blackhead, Conglobata, Crystanlline, Cystic, Flat_wart, Folliculitis, Keloid, Milium, Papular, Purulent, Scars, Sebo-crystan-conglo, Syringoma, Whitehead
set2-159-_jpg.rf.002608fc095f5efbe6af2923ded5523e.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
levle0_274_jpg.rf.0052cbe9cb5488c79e58db9270f67ef0.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
levle2_122_jpg.rf.00479331b6a1d9820d17e0f3bce3d8b1.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
set2-190-_jpg.rf.000d7277fca4419cffb1e98b478e0d03.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
levle1_567_jpg.rf.0057f238e1bedabdfa2d9800aeb644b8.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
levle0_202_jpg.rf.0061aa370d5e860d98c6631acfac004a.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
set2-237-_jpg.rf.006d9a8cd7cc2c0ae845ee453373579f.jpg, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
levle1_364_jpg.rf.0067c3b11d7f73ca93205fbb19998e46.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
acne-face-2-24__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd_jpg.rf.00652f591848684d76499c7b3759b257.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
levle1_145_jpg.rf.007c176754652d1f8da83ae545674652.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
levle2_29_jpg.rf.006f0f754cd02600e27451aa69229f73.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
levle1_376_jpg.rf.00a7878a1e3343ea86c9e825b60ccf27.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
keloid_-60-_jpg.rf.0075233845ad3c258b8a3bc2de4e24ee.jpg, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
levle1_280_jpg.rf.007cb541a570785da2924e52cbfae296.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
